Date,Baltic_Dry_Index,Fuel_Price_USD,Port_Congestion_Days,USD_INR_Rate,Target_Freight_Cost_Per_Ton
2024-07-31,2353,715.96,1,83.86,47.86
2024-08-01,1967,513.68,2,86.6,38.24
2024-08-02,1357,894.68,8,84.92,51.05
2024-08-03,1667,549.19,1,84.69,36.64
2024-08-04,1372,592.45,8,83.34,44.0
2024-08-05,2031,520.68,7,83.84,42.74
2024-08-06,2145,756.0,8,86.48,57.97
2024-08-07,2371,589.88,6,85.33,50.78
2024-08-08,1089,572.0,9,85.94,44.33
2024-08-09,1539,535.42,3,84.27,36.2
2024-08-10,1868,541.32,10,85.15,48.34
2024-08-11,1040,733.87,4,83.24,38.01
2024-08-12,1739,775.28,6,85.53,51.26
2024-08-13,2946,658.95,8,84.14,59.69
2024-08-14,2224,691.96,5,84.21,49.62
2024-08-15,1928,774.39,3,85.25,46.57
2024-08-16,3036,506.95,6,86.68,52.27
2024-08-17,1924,629.25,4,82.32,42.6
2024-08-18,2581,889.24,9,86.12,66.33
2024-08-19,1389,732.04,3,83.46,42.76
2024-08-20,2617,601.69,4,84.22,50.85
2024-08-21,1255,708.69,7,82.11,44.22
2024-08-22,1708,637.06,7,83.51,45.03
2024-08-23,2838,712.9,4,84.51,57.96
2024-08-24,2944,550.3,6,82.28,55.82
2024-08-25,3497,553.09,3,84.46,54.65
2024-08-26,1009,557.42,6,86.64,37.61
2024-08-27,1797,875.93,2,82.53,48.37
2024-08-28,1876,793.16,8,85.82,52.93
2024-08-29,2028,564.95,2,84.05,40.03
2024-08-30,2015,575.34,11,85.28,52.92
2024-08-31,2824,792.33,7,83.3,67.78
2024-09-01,1373,562.47,9,82.8,45.17
2024-09-02,3193,593.82,1,82.8,51.62
2024-09-03,1223,885.34,8,82.35,51.74
2024-09-04,2262,602.12,7,82.93,53.94
2024-09-05,3224,764.65,6,85.32,64.01
2024-09-06,2802,891.45,6,86.41,62.58
2024-09-07,1852,649.72,6,86.07,48.7
2024-09-08,1062,507.01,9,85.43,38.98
2024-09-09,2240,597.66,2,82.55,41.19
2024-09-10,1688,832.35,1,83.45,40.82
2024-09-11,2484,845.84,6,83.55,62.27
2024-09-12,2633,807.41,10,83.25,65.82
2024-09-13,3152,545.24,11,84.58,63.2
2024-09-14,1510,818.2,8,84.68,51.18
2024-09-15,1384,867.47,3,83.78,45.98
2024-09-16,1404,740.24,10,83.77,50.66
2024-09-17,1517,876.35,1,86.14,40.06
2024-09-18,1475,830.74,9,85.95,53.82
2024-09-19,3000,766.79,1,83.54,56.92
2024-09-20,2668,730.87,3,86.57,55.39
2024-09-21,2893,639.43,8,86.76,58.99
2024-09-22,2460,563.71,3,83.63,48.55
2024-09-23,1713,741.98,4,83.77,45.82
2024-09-24,1082,627.24,8,84.53,44.12
2024-09-25,2168,846.58,1,86.71,49.72
2024-09-26,2901,897.33,6,86.38,61.89
2024-09-27,3048,800.97,1,82.51,59.5
2024-09-28,1050,536.19,1,83.96,28.19
2024-09-29,1684,615.47,8,84.77,48.46
2024-09-30,1716,543.64,11,84.52,47.28
2024-10-01,2469,760.2,4,82.97,54.51
2024-10-02,1448,806.08,1,86.29,42.37
2024-10-03,1880,870.27,10,85.38,63.78
2024-10-04,1487,675.27,7,86.19,48.43
2024-10-05,2823,860.55,5,86.29,62.65
2024-10-06,3081,851.16,5,85.74,60.76
2024-10-07,3142,626.88,1,84.2,51.99
2024-10-08,2574,847.56,10,85.05,64.98
2024-10-09,3201,650.27,11,82.8,68.49
2024-10-10,1249,618.75,6,85.37,37.62
2024-10-11,1673,759.63,9,82.9,52.6
2024-10-12,1437,631.35,9,85.47,45.78
2024-10-13,3165,752.08,8,83.15,65.12
2024-10-14,1770,743.93,5,82.59,46.44
2024-10-15,1267,725.38,1,82.83,35.66
2024-10-16,2984,652.17,9,82.01,63.48
2024-10-17,2077,719.4,1,85.59,38.86
2024-10-18,1235,738.59,8,85.66,41.75
2024-10-19,1388,718.27,5,84.57,42.25
2024-10-20,1762,677.77,3,82.81,42.06
2024-10-21,2848,505.87,11,82.42,60.53
2024-10-22,3448,734.82,7,82.1,65.57
2024-10-23,1623,567.38,7,82.83,43.77
2024-10-24,2252,757.03,9,86.45,58.98
2024-10-25,1577,803.74,7,83.21,48.91
2024-10-26,3122,700.18,11,83.77,70.75
2024-10-27,1434,716.95,3,82.53,40.7
2024-10-28,3150,880.59,11,83.11,75.51
2024-10-29,1763,838.87,1,84.6,44.43
2024-10-30,2329,865.69,8,85.04,65.47
2024-10-31,3145,825.51,3,83.23,61.91
2024-11-01,2358,543.57,8,82.29,50.91
2024-11-02,3482,559.6,8,83.96,65.25
2024-11-03,1446,710.65,5,83.17,40.0
2024-11-04,3017,598.43,1,83.1,49.86
2024-11-05,2331,690.68,10,86.8,59.67
2024-11-06,1248,657.75,7,85.08,42.97
2024-11-07,1165,719.77,10,84.78,47.58
2024-11-08,2358,798.75,5,84.08,53.02
2024-11-09,2019,786.2,8,84.14,54.2
2024-11-10,1541,708.49,9,84.7,50.37
2024-11-11,1758,828.96,11,85.48,56.72
2024-11-12,3128,672.34,7,85.51,65.49
2024-11-13,3180,858.69,7,82.86,62.78
2024-11-14,1796,528.51,1,84.5,34.67
2024-11-15,1137,881.86,4,84.06,44.05
2024-11-16,3231,761.88,2,86.35,59.18
2024-11-17,2353,652.03,2,85.16,44.26
2024-11-18,2875,578.86,2,84.66,51.38
2024-11-19,1068,691.67,4,82.58,34.64
2024-11-20,3100,577.82,1,85.03,48.7
2024-11-21,2473,566.53,4,82.59,48.97
2024-11-22,1204,746.94,2,83.69,39.53
2024-11-23,3173,709.23,5,82.71,57.7
2024-11-24,1042,768.04,3,85.46,43.25
2024-11-25,2906,871.84,8,83.03,65.42
2024-11-26,3158,712.9,4,83.96,56.34
2024-11-27,1760,732.37,1,86.48,42.08
2024-11-28,3142,535.85,1,83.02,48.3
2024-11-29,2994,787.05,10,84.54,67.56
2024-11-30,2935,659.96,3,84.1,54.84
2024-12-01,1899,890.69,9,82.09,56.16
2024-12-02,1359,829.27,7,85.96,45.56
2024-12-03,2719,708.99,2,82.35,50.26
2024-12-04,1280,549.29,9,84.37,44.93
2024-12-05,2887,843.77,10,84.8,68.07
2024-12-06,1666,819.91,2,85.14,47.46
2024-12-07,1092,573.83,3,85.44,35.04
2024-12-08,1671,618.11,11,83.27,52.32
2024-12-09,2969,817.36,10,82.05,69.89
2024-12-10,1060,574.09,2,85.62,31.39
2024-12-11,2028,867.1,3,84.68,51.11
2024-12-12,2489,669.81,6,86.18,53.25
2024-12-13,1603,534.82,9,86.11,45.07
2024-12-14,1681,826.3,9,86.22,52.96
2024-12-15,2428,649.4,7,84.43,49.84
2024-12-16,3280,710.6,3,83.67,60.83
2024-12-17,1523,544.92,4,85.96,37.89
2024-12-18,3393,501.03,6,84.26,57.97
2024-12-19,2968,755.19,11,82.92,69.63
2024-12-20,2101,706.07,5,86.27,48.04
2024-12-21,2753,737.42,2,86.41,50.65
2024-12-22,2836,817.5,6,84.33,61.32
2024-12-23,3296,758.64,3,82.38,62.96
2024-12-24,3094,569.91,8,83.94,57.7
2024-12-25,2144,644.31,2,86.02,38.52
2024-12-26,3261,862.36,1,86.51,58.94
2024-12-27,3286,807.98,9,83.02,72.88
2024-12-28,2079,722.65,3,82.33,43.5
2024-12-29,3397,602.26,11,86.39,66.18
2024-12-30,1106,620.82,1,83.95,31.71
2024-12-31,1047,792.78,7,84.71,49.89
2025-01-01,1336,840.47,10,86.84,50.86
2025-01-02,2049,768.57,5,82.33,48.25
2025-01-03,2280,823.81,5,85.24,55.69
2025-01-04,3055,806.66,1,82.37,58.66
2025-01-05,1624,559.88,9,83.88,45.29
2025-01-06,2890,669.58,7,86.02,56.24
2025-01-07,2276,561.19,8,84.17,52.46
2025-01-08,2715,594.09,9,86.99,59.7
2025-01-09,1302,847.7,6,84.8,51.01
2025-01-10,1638,689.16,5,83.61,45.87
2025-01-11,1055,714.14,6,83.1,42.63
2025-01-12,1725,571.38,11,83.75,50.37
2025-01-13,1525,624.91,2,83.86,41.88
2025-01-14,1473,592.1,4,82.34,37.7
2025-01-15,1027,582.47,3,83.85,31.02
2025-01-16,3125,755.18,7,84.32,68.02
2025-01-17,1364,602.75,9,85.61,42.27
2025-01-18,1525,752.81,5,85.28,41.64
2025-01-19,2335,523.38,6,85.54,48.29
2025-01-20,1882,556.71,10,82.04,50.52
2025-01-21,2030,609.82,2,83.09,41.14
2025-01-22,2026,738.82,3,85.31,48.91
2025-01-23,2646,770.34,3,84.42,52.25
2025-01-24,1918,677.09,9,82.03,53.12
2025-01-25,3410,678.32,7,86.02,64.23
2025-01-26,2774,789.81,8,85.86,61.65
2025-01-27,2531,506.33,11,84.74,56.88
2025-01-28,2906,636.44,10,82.33,64.86
2025-01-29,2215,827.48,11,85.83,67.72
2025-01-30,2654,741.29,9,84.92,63.44
2025-01-31,1484,634.89,6,85.91,37.87
2025-02-01,3075,862.21,4,85.76,62.54
2025-02-02,1713,809.05,1,86.02,43.0
2025-02-03,2062,605.96,8,84.59,52.67
2025-02-04,2976,758.12,7,82.7,63.37
2025-02-05,2296,738.3,2,85.36,50.62
2025-02-06,2254,660.48,8,85.1,55.14
2025-02-07,3133,646.78,5,85.71,61.35
2025-02-08,1125,637.42,7,82.85,40.0
2025-02-09,1536,746.86,4,82.97,44.05
2025-02-10,3192,676.96,5,86.45,61.38
2025-02-11,3072,832.75,8,85.75,66.56
2025-02-12,2603,767.84,1,86.54,48.99
2025-02-13,1066,527.97,1,85.79,26.74
2025-02-14,1232,756.07,4,84.99,39.5
2025-02-15,3156,608.46,3,85.27,55.36
2025-02-16,2169,737.12,10,86.45,55.13
2025-02-17,3158,772.05,2,84.89,54.63
2025-02-18,3275,592.33,3,85.16,58.75
2025-02-19,1110,682.74,11,82.78,46.63
2025-02-20,2493,576.13,11,84.37,59.11
2025-02-21,3081,520.94,11,85.58,59.96
2025-02-22,1622,651.39,1,83.35,37.45
2025-02-23,3472,645.18,1,83.01,54.14
2025-02-24,2541,898.19,6,83.57,58.23
2025-02-25,2305,678.54,5,83.21,53.58
2025-02-26,2761,633.43,8,83.07,60.98
2025-02-27,2975,732.19,2,84.12,54.5
2025-02-28,3362,535.51,4,86.54,57.68
2025-03-01,1876,884.67,8,84.54,61.11
2025-03-02,2989,753.98,6,82.94,63.02
2025-03-03,2312,801.94,1,82.38,49.64
2025-03-04,2460,568.19,4,85.48,48.04
2025-03-05,3324,663.79,1,83.91,55.95
2025-03-06,2733,669.08,2,86.11,49.67
2025-03-07,2605,828.72,5,85.3,57.86
2025-03-08,2526,500.49,8,85.98,53.18
2025-03-09,3397,620.34,8,83.36,63.63
2025-03-10,2630,892.49,11,85.46,68.84
2025-03-11,2160,689.95,3,83.32,46.8
2025-03-12,1758,653.01,11,86.7,55.97
2025-03-13,1242,547.93,4,85.18,32.59
2025-03-14,2063,889.67,10,83.62,63.84
2025-03-15,1228,508.01,11,83.35,45.6
2025-03-16,1919,794.87,6,82.95,53.61
2025-03-17,2246,807.44,11,85.47,61.57
2025-03-18,1005,597.46,11,83.09,41.09
2025-03-19,1467,768.62,10,84.98,53.85
2025-03-20,2755,537.17,3,83.32,48.54
2025-03-21,1074,602.82,2,85.31,33.83
2025-03-22,1003,815.16,6,86.07,42.08
2025-03-23,2870,845.87,11,85.89,72.1
2025-03-24,1645,743.39,5,85.8,48.36
2025-03-25,1117,702.74,10,82.94,47.06
2025-03-26,2629,563.72,5,82.44,51.54
2025-03-27,3021,525.24,10,85.49,61.73
2025-03-28,1946,547.06,5,83.84,41.73
2025-03-29,2464,590.94,10,84.16,58.43
2025-03-30,1193,636.67,5,82.16,41.78
2025-03-31,1846,652.36,3,83.3,42.58
2025-04-01,2415,638.53,7,82.17,50.88
2025-04-02,2458,595.62,6,86.4,50.07
2025-04-03,3220,703.89,4,83.22,55.76
2025-04-04,2668,830.11,2,84.79,57.16
2025-04-05,3373,611.88,9,82.19,67.11
2025-04-06,2433,876.95,1,85.33,51.14
2025-04-07,2141,849.33,11,83.62,60.55
2025-04-08,2810,564.71,4,86.49,49.37
2025-04-09,1723,814.51,1,86.44,41.89
2025-04-10,1224,729.83,6,83.63,43.35
2025-04-11,1531,726.63,4,86.5,43.26
2025-04-12,1112,656.42,5,86.98,41.0
2025-04-13,3187,700.46,5,86.13,59.0
2025-04-14,1558,658.87,9,86.22,45.83
2025-04-15,3048,715.89,1,83.25,51.14
2025-04-16,3137,751.18,2,84.88,56.86
2025-04-17,1653,769.72,6,82.34,47.16
2025-04-18,1319,712.99,5,82.47,41.5
2025-04-19,2573,788.57,11,86.99,64.98
2025-04-20,2828,556.51,7,83.63,57.46
2025-04-21,2917,584.79,3,85.74,50.04
2025-04-22,1138,827.49,3,86.03,39.95
2025-04-23,3026,629.01,10,86.29,65.56
2025-04-24,3306,509.16,2,86.99,50.2
2025-04-25,1901,561.52,3,83.21,41.2
2025-04-26,1689,589.45,10,82.2,50.24
2025-04-27,3039,882.93,1,84.06,58.66
2025-04-28,1009,729.22,5,82.65,37.2
2025-04-29,1260,873.09,5,82.11,48.75
2025-04-30,2942,730.07,11,83.8,72.26
2025-05-01,2673,691.74,7,85.92,58.0
2025-05-02,3219,625.49,4,84.83,54.86
2025-05-03,3060,742.55,3,83.56,57.43
2025-05-04,2191,555.68,1,85.27,42.06
2025-05-05,2619,859.3,8,83.16,62.74
2025-05-06,1320,831.73,3,82.07,42.39
2025-05-07,2342,627.01,2,85.82,45.91
2025-05-08,2636,881.12,11,85.12,71.7
2025-05-09,3376,830.08,4,85.81,66.21
2025-05-10,2994,766.52,3,82.19,59.07
2025-05-11,2943,548.7,1,86.19,46.54
2025-05-12,3038,691.29,3,85.1,56.42
2025-05-13,2118,702.44,2,84.82,43.81
2025-05-14,2604,593.02,8,85.12,57.52
2025-05-15,3365,531.99,6,86.32,60.91
2025-05-16,1235,810.69,9,84.93,51.28
2025-05-17,2969,548.81,8,84.9,57.42
2025-05-18,1333,737.72,10,86.95,50.05
2025-05-19,2908,874.58,3,85.78,63.43
2025-05-20,1375,850.44,5,84.21,46.06
2025-05-21,2160,611.1,7,85.54,52.53
2025-05-22,2570,840.58,5,83.95,59.1
2025-05-23,2319,500.13,8,83.14,49.53
2025-05-24,2855,507.08,5,84.98,48.57
2025-05-25,2372,741.02,1,86.64,47.87
2025-05-26,1872,645.92,5,86.65,45.78
2025-05-27,2252,654.58,4,83.71,51.77
2025-05-28,3317,725.78,6,84.64,62.22
2025-05-29,2851,576.71,3,83.06,54.9
2025-05-30,2314,584.7,11,86.98,57.94
2025-05-31,1724,693.84,5,86.91,46.31
2025-06-01,3052,801.7,2,85.25,56.38
2025-06-02,1077,747.8,11,86.02,50.33
2025-06-03,1131,618.94,6,85.58,39.82
2025-06-04,1600,672.13,6,84.97,47.04
2025-06-05,2772,568.27,5,82.27,50.31
2025-06-06,2065,529.85,6,84.27,48.36
2025-06-07,3136,813.08,11,85.37,72.98
2025-06-08,3449,606.15,7,85.39,64.39
2025-06-09,3343,571.11,5,83.87,57.62
2025-06-10,2863,776.65,1,86.71,51.57
2025-06-11,2318,747.22,8,82.84,57.74
2025-06-12,1615,753.28,4,84.5,45.12
2025-06-13,3469,591.56,9,85.45,63.17
2025-06-14,2888,593.06,10,85.49,63.26
2025-06-15,2046,588.32,6,85.24,49.1
2025-06-16,1574,569.5,1,83.38,32.87
2025-06-17,3190,762.29,3,82.78,57.22
2025-06-18,1992,839.21,3,85.18,48.99
2025-06-19,3192,789.73,10,85.0,70.66
2025-06-20,2248,816.84,4,82.9,52.46
2025-06-21,1502,661.92,6,85.53,43.76
2025-06-22,2997,761.63,7,84.28,63.76
2025-06-23,1820,641.69,10,85.34,49.71
2025-06-24,3151,710.2,4,86.19,56.31
2025-06-25,2970,692.65,6,82.85,54.03
2025-06-26,1197,570.75,11,82.1,47.48
2025-06-27,2669,654.83,1,85.9,47.87
2025-06-28,3438,885.53,8,85.05,75.04
2025-06-29,2202,599.43,7,85.5,48.23
2025-06-30,2471,553.52,11,86.19,57.86
2025-07-01,2646,667.43,11,86.01,63.41
2025-07-02,2692,816.14,9,86.8,63.78
2025-07-03,2312,732.86,3,84.68,46.5
2025-07-04,3035,772.39,2,84.44,60.01
2025-07-05,1477,575.88,1,84.01,36.34
2025-07-06,2254,747.58,3,82.77,48.7
2025-07-07,1922,629.4,5,84.86,46.62
2025-07-08,1419,833.72,11,83.39,54.73
2025-07-09,3204,751.72,2,86.61,55.6
2025-07-10,2120,579.54,3,84.92,46.74
2025-07-11,1950,525.85,4,84.96,37.96
2025-07-12,3336,517.05,7,83.77,58.8
2025-07-13,2277,648.56,3,82.26,46.9
2025-07-14,3243,606.34,9,82.16,67.42
2025-07-15,2857,758.44,8,84.12,65.12
2025-07-16,1516,699.73,4,82.42,38.81
2025-07-17,2658,606.41,1,85.03,46.27
2025-07-18,2865,559.7,1,86.4,46.98
2025-07-19,2141,550.88,1,86.41,38.98
2025-07-20,2932,845.86,1,85.3,57.44
2025-07-21,1814,597.39,8,83.06,45.24
2025-07-22,3275,760.68,3,86.31,59.25
2025-07-23,2900,824.27,6,86.43,63.69
2025-07-24,3263,745.63,3,82.98,60.86
2025-07-25,3062,843.83,11,85.69,72.73
2025-07-26,3094,656.96,5,83.43,57.57
2025-07-27,3371,882.49,7,86.01,70.44
2025-07-28,1129,553.26,2,86.99,32.37
2025-07-29,1094,540.86,6,82.15,36.23
2025-07-30,2955,763.48,6,86.49,59.37
2025-07-31,1793,877.13,11,85.11,58.28
2025-08-01,2834,823.55,3,86.87,54.57
2025-08-02,3116,530.57,6,84.33,58.99
2025-08-03,2683,611.75,10,86.24,61.8
2025-08-04,1010,872.13,10,82.31,51.05
2025-08-05,2865,601.22,5,83.68,53.28
2025-08-06,1711,812.47,2,82.34,43.34
2025-08-07,3070,830.05,9,86.88,71.29
2025-08-08,1814,698.18,8,86.08,54.89
2025-08-09,1345,654.54,3,86.26,36.38
2025-08-10,3349,680.05,8,86.69,68.17
2025-08-11,1362,590.79,9,82.43,44.9
2025-08-12,3443,855.76,3,83.93,64.18
2025-08-13,3265,680.25,3,82.36,60.57
2025-08-14,3188,852.98,2,83.05,60.45
2025-08-15,1984,542.28,8,83.15,48.7
2025-08-16,2639,895.31,10,84.35,68.75
2025-08-17,1827,677.31,1,83.34,36.84
2025-08-18,1355,519.13,8,82.5,41.7
2025-08-19,2347,515.21,7,82.84,48.3
2025-08-20,2863,798.48,7,82.74,60.24
2025-08-21,1126,763.61,3,86.87,37.63
2025-08-22,1603,820.85,1,85.8,41.1
2025-08-23,2928,542.15,4,86.84,53.6
2025-08-24,2013,514.23,9,84.2,46.93
2025-08-25,1050,703.43,5,83.39,37.52
2025-08-26,2430,655.04,1,85.99,45.92
2025-08-27,2792,684.78,5,83.63,53.31
2025-08-28,2636,896.64,8,83.5,63.94
2025-08-29,2645,888.3,8,83.16,61.77
2025-08-30,3467,876.93,5,82.65,70.32
2025-08-31,2205,813.54,9,83.28,59.35
2025-09-01,2854,641.94,1,83.78,49.27
2025-09-02,1566,664.85,4,85.37,43.44
2025-09-03,3418,719.85,3,82.31,58.83
2025-09-04,1935,832.21,2,83.05,46.69
2025-09-05,2934,527.49,8,86.05,55.05
2025-09-06,2332,669.72,7,82.73,51.79
2025-09-07,1201,533.05,9,83.71,39.66
2025-09-08,3360,705.86,2,86.32,56.79
2025-09-09,1116,859.56,4,82.77,42.18
2025-09-10,1936,812.99,6,82.41,53.33
2025-09-11,1574,591.14,11,84.42,48.19
2025-09-12,3291,890.4,3,83.51,64.76
2025-09-13,1536,766.94,8,84.82,51.34
2025-09-14,2625,504.17,3,86.02,44.94
2025-09-15,3122,602.17,2,82.69,50.68
2025-09-16,1385,604.29,3,84.9,36.65
2025-09-17,1474,527.7,11,84.53,46.67
2025-09-18,1417,883.93,6,82.72,50.13
2025-09-19,3394,691.3,2,85.12,60.82
2025-09-20,1938,858.33,8,83.37,57.27
2025-09-21,1954,628.89,1,84.44,38.63
2025-09-22,1875,550.09,7,82.41,43.97
2025-09-23,1762,689.73,2,84.3,39.61
2025-09-24,2202,545.58,10,83.53,50.46
2025-09-25,2205,694.41,6,86.11,53.75
2025-09-26,1663,868.12,2,82.28,41.21
